lat_long,Abbreviation,Hashtag,@,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP
"40.703816216918,-74.0137557951973",,,,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004
"40.6151208377553,-74.0630317885511",Alice Austen House,,@iAliceAusten ,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305
"40.8338535007533,-73.9472976854157",American Academy of Arts & Sciences,,@americanacad ,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,,New York,10032
"40.7616249713854,-73.9781030211",Folk Art Museum,#folkartmuseum,@FolkArtMuseum ,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019
"40.6990562624439,-74.0396848374904",American Family Immigration History Center,,@EllisIsland ,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0
"40.7808262345764,-73.9736481637781",American Museum of Natural History,,@AMNH ,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024
"40.7235265926282,-74.0070118792087",American Numismatic,,@ANSCoins ,(212) 571-4470,http://www.numismatics.org/,75 Varick St,11th Floor,New York,10013
"40.7688242289527,-73.9659704525835",Americas Society Art ,,@Visual_ArtsAS ,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,,New York,10021
"40.7211274494766,-73.9996303690309",Anne Frank Center,,@AnneFrankCenter ,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012
"40.7698337826535,-73.9642839572661",Asia Society,,@AsiaSociety ,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,,New York,10021
"40.8335822824604,-73.9465459049432",NYC Audubon,,@NYCAudubon ,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,,New York,10032
"40.8717783167827,-73.8055794999575",The Bartow Pell Mansion Museum (BPMM),,@Bartow_Pell ,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464
"40.7628863319466,-73.8248904638562",Bowne House,,@BowneHouse1 ,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,,Queens,11354
"40.8782364413489,-73.8797487400356",Bronx Historical So,,@BronxHistory ,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,,Bronx,10467
"40.8310297799284,-73.9197501772482",Bronx Museum,,@BronxMuseum ,(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456
"40.6745069960993,-73.9440160138374",Brooklyn Children’s Museum,,@BrooklynKids ,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213
"40.6948029749104,-73.9924054039313",Brooklyn Historical Society,,@brooklynhistory ,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,11201
"40.6710832121262,-73.9635850679766",Brooklyn Museum,,@brooklynmuseum ,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238
"40.7478976020673,-74.0073155337426",Chelsea Art Museum,,@ChelseaArtMus ,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,,New York,10011
"40.7858709210675,-73.9772739196816",Children's Museum of Manhattan,,@cmomNYC ,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,10024
"40.72074946881,-73.9988383609048",CMA in NYC,,@CMAinNYC ,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012
"40.8649236357481,-73.9317340870604",The Cloisters,,"TheCloisters , @met_cloisters ",(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040
"40.5752632425206,-73.9798559841526",Coney Island USA,,@coneyislandusa ,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224
"40.7843257399368,-73.9577816197546",Cooper Hewitt,,@cooperhewitt ,(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128
"40.7621069729625,-73.973041901421",Dahesh Museum of Art,,@DaheshShop ,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022
"40.8333021097013,-73.9464931816967",,,,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street,,New York,10032
"40.7478949262342,-74.0061353757862",Dia Art Foundation,,"DiaArtFndn , @DiaFoundation ",(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street,,New York,10011
"40.7575010855118,-73.9873186395944",Discovery Times Sq.,,@DiscoveryTS ,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,,New York,1036
"40.7224511885278,-74.0029041720417",The Drawing Center,,@drawingcenter,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013
"40.8671309209355,-73.9238391474875",Dyckman Farmhouse,,@DyckmanFarm,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034
"40.7249597041668,-73.9927230622582",,,,(212) 614-8702,http://leshp.org/,308 Bowery,,New York,10012
"40.7930989207894,-73.9513676011166",El Museo del Barrio,,@elmuseo,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029
"40.6982075533029,-74.0413216179424",,,@EllisIsland ,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0
"40.7033992759878,-74.0113392631792",Fraunces Tavern,,@frauncestavern,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004
"40.7710546535054,-73.967080405398",The Frick Collection,,@frickcollection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,10021
"40.6151652240151,-74.0738777429074",,,,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305
"40.7791656408524,-73.9617420401523",Goethe-Institut New York,,@GI_NewYork,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028
"40.7761134500303,-73.9430684626868",Gracie Mansion Cons.,,gracie_mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128
"40.8587471697885,-73.9139796291803",,,,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,,Bronx,10453
"40.6090086685068,-74.0323107757336",,,,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop,,Brooklyn,11252
"40.833452146758,-73.9468228223051",The Hispanic Society,,@HSAmuseum ,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,,New York,10032
"40.8783578649901,-73.890987843841",Holocaust Center,,@HolocaustTolCtr,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St,,Bronx,10468
"40.6755719348743,-74.0180869430955",waterfrontmuseum.org,,@MuseumBarge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St.,,Brooklyn,11231
"0.756021151222605,-73.983836726072 4",ICP,,"ICPhotog, @ICPlibrary, @ICPStore",(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas,,New York,10036
"40.7647832739416,-74.0008918064129",Intrepid Museum,,@IntrepidMuseum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,,New York,10036
"40.7669566130525,-73.9376551450383",The Noguchi Museum,,@NoguchiMuseum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,,Long Island City,11106
"40.7191946282104,-73.9974941068757",IAM Museum NYC ,,@IAMMuseumNYC,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,,New York,10013
"40.7233506622538,-74.0066418551635",,,,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,10013
"40.5763128353056,-74.1381233658254",Tibetan Museum,,@TibetanMuseum,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,,Staten Island,10306
"40.8502200348491,-73.9469449451472",,,,(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River,,New York,10033
"40.7854022564254,-73.9571870593105",The Jewish Museum,,@TheJewishMuseum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,,New York,10128
"40.7523301973276,-74.0096548373357",,,,,http://www.fireboat.org/,Pier 66 at West 26th Street,,New York,10001
"40.7030420192597,-73.8037606206352",,,,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,,Queens,11432
"40.7635957050571,-73.8241564188993",,,,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue,,Queens,11354
