Alexander Hamilton U.S. Custom House			
Alice Austen House Museum	Alice Austen House		@iAliceAusten 
American Academy of Arts and Letters	American Academy of Arts & Sciences		@americanacad 
American Folk Art Museum	Folk Art Museum	#folkartmuseum	@FolkArtMuseum 
American Immigration History Center	American Family Immigration History Center		@EllisIsland 
American Museum of Natural History	American Museum of Natural History		@AMNH 
American Numismatic Society	American Numismatic		@ANSCoins 
Americas Society	Americas Society Art 		@Visual_ArtsAS 
Anne Frank Center USA	Anne Frank Center		@AnneFrankCenter 
Asia Society	Asia Society		@AsiaSociety 
Audubon Terrace	NYC Audubon		@NYCAudubon 
Bartow-Pell Mansion	The Bartow Pell Mansion Museum (BPMM)		@Bartow_Pell 
Bowne House	Bowne House		@BowneHouse1 
Bronx Historical Society & Musem	Bronx Historical So		@BronxHistory 
Bronx Museum of the Arts (BXMA)	Bronx Museum		@BronxMuseum 
Brooklyn Children's Museum	Brooklyn Children’s Museum		@BrooklynKids 
Brooklyn Historical Society	Brooklyn Historical Society		@brooklynhistory 
Brooklyn Museum	Brooklyn Museum		@brooklynmuseum 
Chelsea Art Museum	Chelsea Art Museum		@ChelseaArtMus 
Children's Museum of Manhattan	Children's Museum of Manhattan		@cmomNYC 
Children's Museum of the Arts	CMA in NYC		@CMAinNYC 
Cloisters	The Cloisters		TheCloisters , @met_cloisters 
Coney Island Museum	Coney Island USA		@coneyislandusa 
Cooper-Hewitt, National Design Museum	Cooper Hewitt		@cooperhewitt 
Dahesh Museum	Dahesh Museum of Art		@DaheshShop 
Dia at the Hispanic Society			
Dia Art Foundation	Dia Art Foundation		DiaArtFndn , @DiaFoundation 
Discovery Times Square Exposition	Discovery Times Sq.		@DiscoveryTS 
Drawing Center	The Drawing Center		@drawingcenter
Dyckman Farmhouse	Dyckman Farmhouse		@DyckmanFarm
East Village History Project			
El Museo del Barrio	El Museo del Barrio		@elmuseo
Ellis Island Museum			@EllisIsland 
Fraunces Tavern Museum	Fraunces Tavern		@frauncestavern
Frick Collection	The Frick Collection		@frickcollection
Garibaldi-Meucci Museum			
Goethe-Institut New York	Goethe-Institut New York		@GI_NewYork
Gracie Mansion	Gracie Mansion Cons.		gracie_mansion
Hall Of Fame For Great Americans			
Harbor Defense Museum of Fort Hamilton			
Hispanic Society of America Museum	The Hispanic Society		@HSAmuseum 
Holocaust Museum & Studies Center	Holocaust Center		@HolocaustTolCtr
Hudson Waterfront Museum and Showboat Barge	waterfrontmuseum.org		@MuseumBarge
International Center of Photography	ICP		ICPhotog, @ICPlibrary, @ICPStore
Intrepid Sea-Air-Space Museum	Intrepid Museum		@IntrepidMuseum
Isamu Noguchi Garden Museum	The Noguchi Museum		@NoguchiMuseum
Italian American Museum	IAM Museum NYC 		@IAMMuseumNYC
Jackie Robinson Museum			
Jacques Marchais Center Museum of Tibetan Art	Tibetan Museum		@TibetanMuseum
Jeffrey's Hook lighthouse (Little Red Lighthouse)			
Jewish Museum	The Jewish Museum		@TheJewishMuseum
John J. Harvey Fireboat			
King Manor Museum			
Kingsland Homestead			
LaGuardia and Wagner Archives			
Lee Young Hee Museum of Korean Culture			
Lefferts Historic House			
Madame Tussauds Wax Museum	Madame Tussauds NY		@nycwax
Merchant's House Museum	Merchant's House		@MerchantsHouse
Metropolitan Museum of Art (MET)	The Met		@metmuseum
Mexican Cultural Institute of New York	MCINY		@MCINY
Morgan Library and Museum	The Morgan		@MorganLibrary
Morris-Jumel Mansion	Morris-Jumel Mansion		@MorrisJumel
Mount Vernon Hotel Museum & Garden	Mount Vernon Hotel Museum and Garden		@MuseumMVH
Municipal Art Society	MASNYC		@MASNYC
Museum for African Art			
Museum of American Finance	MoAF		@FinanceMuseum
Museum of American Illustration			
Museum of Arts & Design (MAD)	MAD Museum		@MADMuseum
Museum of Biblical Art			
Museum Of Chinese In America	Chinese in America		@mocanyc
Museum of Comic and Cartoon Art (MoCCA)			
Museum of Contemporary African Diasporan Arts (MoCADA)	MoCADA		@MoCADA
Museum of Jewish Heritage	MuseumJewishHeritage		@MJHnews
Museum of Modern Art (MoMA)	MoMA, the Museum of Modern Art		@MuseumModernArt
Museum of the City of New York	MuseumoftheCityofNY		@MuseumofCityNY
